"Code","ICD9_ICD10","String","PheCode","Disease"
"C40.32","ICD10","Malignant neoplasm of short bones of left lower limb",170.1,"Cancer"
"C40.8","ICD10","Malignant neoplasm of overlapping sites of bone and articular cartilage of limb",170.1,"Cancer"
"C40.80","ICD10","Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb",170.1,"Cancer"
"C40.81","ICD10","Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb",170.1,"Cancer"
"C40.82","ICD10","Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb",170.1,"Cancer"
"C40.9","ICD10","Malignant neoplasm of unspecified bones and articular cartilage of limb",170.1,"Cancer"
"C40.90","ICD10","Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb",170.1,"Cancer"
"C40.91","ICD10","Malignant neoplasm of unspecified bones and articular cartilage of right limb",170.1,"Cancer"
"C40.92","ICD10","Malignant neoplasm of unspecified bones and articular cartilage of left limb",170.1,"Cancer"
"C41","ICD10","Malignant neoplasm of bone and articular cartilage of other and unspecified sites",170.1,"Cancer"
"C41.0","ICD10","Malignant neoplasm of bones of skull and face",170.1,"Cancer"
"C41.1","ICD10","Malignant neoplasm of mandible",170.1,"Cancer"
"C41.2","ICD10","Malignant neoplasm of vertebral column",170.1,"Cancer"
"C41.3","ICD10","Malignant neoplasm of ribs, sternum and clavicle",170.1,"Cancer"
"C41.4","ICD10","Malignant neoplasm of pelvic bones, sacrum and coccyx",170.1,"Cancer"
"C41.9","ICD10","Malignant neoplasm of bone and articular cartilage, unspecified",170.1,"Cancer"
"C44.0","ICD10","Other and unspecified malignant neoplasm of skin of lip",172.2,"Cancer"
"C44.00","ICD10","Unspecified malignant neoplasm of skin of lip",172.2,"Cancer"
"C44.09","ICD10","Other specified malignant neoplasm of skin of lip",172.2,"Cancer"
"C44.1","ICD10","Other and unspecified malignant neoplasm of skin of eyelid, including canthus",172.2,"Cancer"
"C44.10","ICD10","Unspecified malignant neoplasm of skin of eyelid, including canthus",172.2,"Cancer"
"C44.101","ICD10","Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",172.2,"Cancer"
"C44.102","ICD10","Unspecified malignant neoplasm of skin of right eyelid, including canthus",172.2,"Cancer"
"C44.109","ICD10","Unspecified malignant neoplasm of skin of left eyelid, including canthus",172.2,"Cancer"
"C44.11","ICD10","Basal cell carcinoma of skin of eyelid, including canthus",172.2,"Cancer"
"C44.12","ICD10","Squamous cell carcinoma of skin of eyelid, including canthus",172.2,"Cancer"
"C44.19","ICD10","Other specified malignant neoplasm of skin of eyelid, including canthus",172.2,"Cancer"
"C44.191","ICD10","Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",172.2,"Cancer"
"C44.192","ICD10","Other specified malignant neoplasm of skin of right eyelid, including canthus",172.2,"Cancer"
"C44.199","ICD10","Other specified malignant neoplasm of skin of left eyelid, including canthus",172.2,"Cancer"
"C44.2","ICD10","Other and unspecified malignant neoplasm of skin of ear and external auricular canal",172.2,"Cancer"
"C44.20","ICD10","Unspecified malignant neoplasm of skin of ear and external auricular canal",172.2,"Cancer"
"C44.201","ICD10","Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal",172.2,"Cancer"
"C44.202","ICD10","Unspecified malignant neoplasm of skin of right ear and external auricular canal",172.2,"Cancer"
"C44.209","ICD10","Unspecified malignant neoplasm of skin of left ear and external auricular canal",172.2,"Cancer"
"C44.21","ICD10","Basal cell carcinoma of skin of ear and external auricular canal",172.2,"Cancer"
"C44.22","ICD10","Squamous cell carcinoma of skin of ear and external auricular canal",172.2,"Cancer"
"C44.29","ICD10","Other specified malignant neoplasm of skin of ear and external auricular canal",172.2,"Cancer"
"C44.291","ICD10","Other specified malignant neoplasm of skin of unspecified ear and external auricular canal",172.2,"Cancer"
"C44.292","ICD10","Other specified malignant neoplasm of skin of right ear and external auricular canal",172.2,"Cancer"
"C44.299","ICD10","Other specified malignant neoplasm of skin of left ear and external auricular canal",172.2,"Cancer"
"C44.30","ICD10","Unspecified malignant neoplasm of skin of other and unspecified parts of face",172.2,"Cancer"
"C44.300","ICD10","Unspecified malignant neoplasm of skin of unspecified part of face",172.2,"Cancer"
"C44.301","ICD10","Unspecified malignant neoplasm of skin of nose",172.2,"Cancer"
"C44.309","ICD10","Unspecified malignant neoplasm of skin of other parts of face",172.2,"Cancer"
"C44.31","ICD10","Basal cell carcinoma of skin of other and unspecified parts of face",172.2,"Cancer"
"C44.39","ICD10","Other specified malignant neoplasm of skin of other and unspecified parts of face",172.2,"Cancer"
"C44.390","ICD10","Other specified malignant neoplasm of skin of unspecified parts of face",172.2,"Cancer"
"C44.391","ICD10","Other specified malignant neoplasm of skin of nose",172.2,"Cancer"
"C44.399","ICD10","Other specified malignant neoplasm of skin of other parts of face",172.2,"Cancer"
"C44.4","ICD10","Other and unspecified malignant neoplasm of skin of scalp and neck",172.2,"Cancer"
"C44.40","ICD10","Unspecified malignant neoplasm of skin of scalp and neck",172.2,"Cancer"
"C44.49","ICD10","Other specified malignant neoplasm of skin of scalp and neck",172.2,"Cancer"
"C44.500","ICD10","Unspecified malignant neoplasm of anal skin",172.2,"Cancer"
"C44.501","ICD10","Unspecified malignant neoplasm of skin of breast",172.2,"Cancer"
"C44.509","ICD10","Unspecified malignant neoplasm of skin of other part of trunk",172.2,"Cancer"
"C44.51","ICD10","Basal cell carcinoma of skin of trunk",172.2,"Cancer"
"C44.52","ICD10","Squamous cell carcinoma of skin of trunk",172.2,"Cancer"
"C44.59","ICD10","Other specified malignant neoplasm of skin of trunk",172.2,"Cancer"
"C44.590","ICD10","Other specified malignant neoplasm of anal skin",172.2,"Cancer"
"C44.591","ICD10","Other specified malignant neoplasm of skin of breast",172.2,"Cancer"
"C44.599","ICD10","Other specified malignant neoplasm of skin of other part of trunk",172.2,"Cancer"
"C44.6","ICD10","Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",172.2,"Cancer"
"C44.60","ICD10","Unspecified malignant neoplasm of skin of upper limb, including shoulder",172.2,"Cancer"
"C44.601","ICD10","Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",172.2,"Cancer"
"C44.602","ICD10","Unspecified malignant neoplasm of skin of right upper limb, including shoulder",172.2,"Cancer"
"C44.609","ICD10","Unspecified malignant neoplasm of skin of left upper limb, including shoulder",172.2,"Cancer"
"C44.61","ICD10","Basal cell carcinoma of skin of upper limb, including shoulder",172.2,"Cancer"
"C44.62","ICD10","Squamous cell carcinoma of skin of upper limb, including shoulder",172.2,"Cancer"
"C44.69","ICD10","Other specified malignant neoplasm of skin of upper limb, including shoulder",172.2,"Cancer"
"C44.691","ICD10","Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",172.2,"Cancer"
"C44.692","ICD10","Other specified malignant neoplasm of skin of right upper limb, including shoulder",172.2,"Cancer"
"C44.699","ICD10","Other specified malignant neoplasm of skin of left upper limb, including shoulder",172.2,"Cancer"
"C44.7","ICD10","Other and unspecified malignant neoplasm of skin of lower limb, including hip",172.2,"Cancer"
"C44.70","ICD10","Unspecified malignant neoplasm of skin of lower limb, including hip",172.2,"Cancer"
"C44.701","ICD10","Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",172.2,"Cancer"
"C44.702","ICD10","Unspecified malignant neoplasm of skin of right lower limb, including hip",172.2,"Cancer"
"C44.709","ICD10","Unspecified malignant neoplasm of skin of left lower limb, including hip",172.2,"Cancer"
"C44.71","ICD10","Basal cell carcinoma of skin of lower limb, including hip",172.2,"Cancer"
"C44.72","ICD10","Squamous cell carcinoma of skin of lower limb, including hip",172.2,"Cancer"
"C44.79","ICD10","Other specified malignant neoplasm of skin of lower limb, including hip",172.2,"Cancer"
"C44.791","ICD10","Other specified malignant neoplasm of skin of unspecified lower limb, including hip",172.2,"Cancer"
"C44.792","ICD10","Other specified malignant neoplasm of skin of right lower limb, including hip",172.2,"Cancer"
"C44.799","ICD10","Other specified malignant neoplasm of skin of left lower limb, including hip",172.2,"Cancer"
"C44.8","ICD10","Other and unspecified malignant neoplasm of overlapping sites of skin",172.2,"Cancer"
"C44.80","ICD10","Unspecified malignant neoplasm of overlapping sites of skin",172.2,"Cancer"
"C44.89","ICD10","Other specified malignant neoplasm of overlapping sites of skin",172.2,"Cancer"
"C44.9","ICD10","Other and unspecified malignant neoplasm of skin, unspecified",172.2,"Cancer"
"C44.90","ICD10","Unspecified malignant neoplasm of skin, unspecified",172.2,"Cancer"
"C44.99","ICD10","Other specified malignant neoplasm of skin, unspecified",172.2,"Cancer"
"C45.0","ICD10","Mesothelioma of pleura",165,"Cancer"
"C45.2","ICD10","Mesothelioma of pericardium",164,"Cancer"
"C47","ICD10","Malignant neoplasm of peripheral nerves and autonomic nervous system",170.2,"Cancer"
"C47.0","ICD10","Malignant neoplasm of peripheral nerves of head, face and neck",170.2,"Cancer"
"C47.1","ICD10","Malignant neoplasm of peripheral nerves of upper limb, including shoulder",170.2,"Cancer"
"C47.10","ICD10","Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",170.2,"Cancer"
"C47.11","ICD10","Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",170.2,"Cancer"
"C47.12","ICD10","Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",170.2,"Cancer"
"C47.2","ICD10","Malignant neoplasm of peripheral nerves of lower limb, including hip",170.2,"Cancer"
"C47.20","ICD10","Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",170.2,"Cancer"
"C47.21","ICD10","Malignant neoplasm of peripheral nerves of right lower limb, including hip",170.2,"Cancer"
"C47.22","ICD10","Malignant neoplasm of peripheral nerves of left lower limb, including hip",170.2,"Cancer"
"C47.3","ICD10","Malignant neoplasm of peripheral nerves of thorax",170.2,"Cancer"
"C47.4","ICD10","Malignant neoplasm of peripheral nerves of abdomen",170.2,"Cancer"
"C47.5","ICD10","Malignant neoplasm of peripheral nerves of pelvis",170.2,"Cancer"
"C47.6","ICD10","Malignant neoplasm of peripheral nerves of trunk, unspecified",170.2,"Cancer"
"C47.8","ICD10","Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system",170.2,"Cancer"
"C47.9","ICD10","Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",170.2,"Cancer"
"C49.0","ICD10","Malignant neoplasm of other connective and soft tissue",170.2,"Cancer"
"C49.0","ICD10","Malignant neoplasm of connective and soft tissue of head, face and neck",170.2,"Cancer"
"C49.1","ICD10","Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",170.2,"Cancer"
"C49.10","ICD10","Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",170.2,"Cancer"
"C49.11","ICD10","Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",170.2,"Cancer"
"C49.12","ICD10","Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",170.2,"Cancer"
"C49.2","ICD10","Malignant neoplasm of connective and soft tissue of lower limb, including hip",170.2,"Cancer"
"C49.20","ICD10","Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",170.2,"Cancer"
"C49.21","ICD10","Malignant neoplasm of connective and soft tissue of right lower limb, including hip",170.2,"Cancer"
"C49.22","ICD10","Malignant neoplasm of connective and soft tissue of left lower limb, including hip",170.2,"Cancer"
"C49.3","ICD10","Malignant neoplasm of connective and soft tissue of thorax",170.2,"Cancer"
"C49.4","ICD10","Malignant neoplasm of connective and soft tissue of abdomen",170.2,"Cancer"
"C49.5","ICD10","Malignant neoplasm of connective and soft tissue of pelvis",170.2,"Cancer"
"C49.6","ICD10","Malignant neoplasm of connective and soft tissue of trunk, unspecified",170.2,"Cancer"
"C49.8","ICD10","Malignant neoplasm of overlapping sites of connective and soft tissue",170.2,"Cancer"
"C49.9","ICD10","Malignant neoplasm of connective and soft tissue, unspecified",170.2,"Cancer"
"C49.A","ICD10","Gastrointestinal stromal tumor",170.2,"Cancer"
"C49.A0","ICD10","Gastrointestinal stromal tumor, unspecified site",170.2,"Cancer"
"C49.A1","ICD10","Gastrointestinal stromal tumor of esophagus",170.2,"Cancer"
"C49.A2","ICD10","Gastrointestinal stromal tumor of stomach",170.2,"Cancer"
"C49.A3","ICD10","Gastrointestinal stromal tumor of small intestine",170.2,"Cancer"
"C49.A4","ICD10","Gastrointestinal stromal tumor of large intestine",170.2,"Cancer"
"C49.A5","ICD10","Gastrointestinal stromal tumor of rectum",170.2,"Cancer"
"C49.A9","ICD10","Gastrointestinal stromal tumor of other sites",170.2,"Cancer"
"C4A","ICD10","Merkel cell carcinoma",172.2,"Cancer"
"C4A.0","ICD10","Merkel cell carcinoma of lip",172.2,"Cancer"
"C4A.1","ICD10","Merkel cell carcinoma of eyelid, including canthus",172.2,"Cancer"
"C4A.10","ICD10","Merkel cell carcinoma of unspecified eyelid, including canthus",172.2,"Cancer"
"C4A.11","ICD10","Merkel cell carcinoma of right eyelid, including canthus",172.2,"Cancer"
"C4A.12","ICD10","Merkel cell carcinoma of left eyelid, including canthus",172.2,"Cancer"
"C4A.2","ICD10","Merkel cell carcinoma of ear and external auricular canal",172.2,"Cancer"
"C4A.20","ICD10","Merkel cell carcinoma of unspecified ear and external auricular canal",172.2,"Cancer"
"C4A.21","ICD10","Merkel cell carcinoma of right ear and external auricular canal",172.2,"Cancer"
"C4A.22","ICD10","Merkel cell carcinoma of left ear and external auricular canal",172.2,"Cancer"
"C4A.3","ICD10","Merkel cell carcinoma of other and unspecified parts of face",172.2,"Cancer"
"C4A.30","ICD10","Merkel cell carcinoma of unspecified part of face",172.2,"Cancer"
"C4A.31","ICD10","Merkel cell carcinoma of nose",172.2,"Cancer"
"C4A.39","ICD10","Merkel cell carcinoma of other parts of face",172.2,"Cancer"
"C4A.4","ICD10","Merkel cell carcinoma of scalp and neck",172.2,"Cancer"
"C4A.5","ICD10","Merkel cell carcinoma of trunk",172.2,"Cancer"
"C4A.51","ICD10","Merkel cell carcinoma of anal skin",172.2,"Cancer"
"C4A.52","ICD10","Merkel cell carcinoma of skin of breast",172.2,"Cancer"
"C4A.59","ICD10","Merkel cell carcinoma of other part of trunk",172.2,"Cancer"
"C4A.6","ICD10","Merkel cell carcinoma of upper limb, including shoulder",172.2,"Cancer"
"C4A.60","ICD10","Merkel cell carcinoma of unspecified upper limb, including shoulder",172.2,"Cancer"
"C4A.61","ICD10","Merkel cell carcinoma of right upper limb, including shoulder",172.2,"Cancer"
"C4A.62","ICD10","Merkel cell carcinoma of left upper limb, including shoulder",172.2,"Cancer"
"C4A.7","ICD10","Merkel cell carcinoma of lower limb, including hip",172.2,"Cancer"
"C4A.70","ICD10","Merkel cell carcinoma of unspecified lower limb, including hip",172.2,"Cancer"
"C4A.71","ICD10","Merkel cell carcinoma of right lower limb, including hip",172.2,"Cancer"
"C4A.72","ICD10","Merkel cell carcinoma of left lower limb, including hip",172.2,"Cancer"
"C4A.8","ICD10","Merkel cell carcinoma of overlapping sites",172.2,"Cancer"
"C4A.9","ICD10","Merkel cell carcinoma, unspecified",172.2,"Cancer"
"C50.02","ICD10","Malignant neoplasm of nipple and areola, male",174.2,"Cancer"
"C50.021","ICD10","Malignant neoplasm of nipple and areola, right male breast",174.2,"Cancer"
"C50.022","ICD10","Malignant neoplasm of nipple and areola, left male breast",174.2,"Cancer"
"C50.029","ICD10","Malignant neoplasm of nipple and areola, unspecified male breast",174.2,"Cancer"
"C50.12","ICD10","Malignant neoplasm of central portion of breast, male",174.2,"Cancer"
"C50.121","ICD10","Malignant neoplasm of central portion of right male breast",174.2,"Cancer"
"C50.122","ICD10","Malignant neoplasm of central portion of left male breast",174.2,"Cancer"
"C50.129","ICD10","Malignant neoplasm of central portion of unspecified male breast",174.2,"Cancer"
"C50.22","ICD10","Malignant neoplasm of upper-inner quadrant of breast, male",174.2,"Cancer"
"C50.221","ICD10","Malignant neoplasm of upper-inner quadrant of right male breast",174.2,"Cancer"
"C50.222","ICD10","Malignant neoplasm of upper-inner quadrant of left male breast",174.2,"Cancer"
"C50.229","ICD10","Malignant neoplasm of upper-inner quadrant of unspecified male breast",174.2,"Cancer"
"C50.32","ICD10","Malignant neoplasm of lower-inner quadrant of breast, male",174.2,"Cancer"
"C50.321","ICD10","Malignant neoplasm of lower-inner quadrant of right male breast",174.2,"Cancer"
"C50.322","ICD10","Malignant neoplasm of lower-inner quadrant of left male breast",174.2,"Cancer"
"C50.329","ICD10","Malignant neoplasm of lower-inner quadrant of unspecified male breast",174.2,"Cancer"
"C50.42","ICD10","Malignant neoplasm of upper-outer quadrant of breast, male",174.2,"Cancer"
"C50.421","ICD10","Malignant neoplasm of upper-outer quadrant of right male breast",174.2,"Cancer"
"C50.422","ICD10","Malignant neoplasm of upper-outer quadrant of left male breast",174.2,"Cancer"
"C50.429","ICD10","Malignant neoplasm of upper-outer quadrant of unspecified male breast",174.2,"Cancer"
"C50.52","ICD10","Malignant neoplasm of lower-outer quadrant of breast, male",174.2,"Cancer"
"C50.521","ICD10","Malignant neoplasm of lower-outer quadrant of right male breast",174.2,"Cancer"
"C50.522","ICD10","Malignant neoplasm of lower-outer quadrant of left male breast",174.2,"Cancer"
"C50.529","ICD10","Malignant neoplasm of lower-outer quadrant of unspecified male breast",174.2,"Cancer"
"C50.62","ICD10","Malignant neoplasm of axillary tail of breast, male",174.2,"Cancer"
"C50.621","ICD10","Malignant neoplasm of axillary tail of right male breast",174.2,"Cancer"
"C50.622","ICD10","Malignant neoplasm of axillary tail of left male breast",174.2,"Cancer"
"C50.629","ICD10","Malignant neoplasm of axillary tail of unspecified male breast",174.2,"Cancer"
"C50.82","ICD10","Malignant neoplasm of overlapping sites of breast, male",174.2,"Cancer"
"C50.821","ICD10","Malignant neoplasm of overlapping sites of right male breast",174.2,"Cancer"
"C50.822","ICD10","Malignant neoplasm of overlapping sites of left male breast",174.2,"Cancer"
"C50.829","ICD10","Malignant neoplasm of overlapping sites of unspecified male breast",174.2,"Cancer"
"C50.92","ICD10","Malignant neoplasm of breast of unspecified site, male",174.2,"Cancer"
"C50.921","ICD10","Malignant neoplasm of unspecified site of right male breast",174.2,"Cancer"
"C50.922","ICD10","Malignant neoplasm of unspecified site of left male breast",174.2,"Cancer"
"C50.929","ICD10","Malignant neoplasm of unspecified site of unspecified male breast",174.2,"Cancer"
"C51","ICD10","Malignant neoplasm of vulva",184.2,"Cancer"
"C51.0","ICD10","Malignant neoplasm of labium majus",184.2,"Cancer"
"C51.1","ICD10","Malignant neoplasm of labium minus",184.2,"Cancer"
"C51.2","ICD10","Malignant neoplasm of clitoris",184.2,"Cancer"
"C51.9","ICD10","Malignant neoplasm of vulva, unspecified",184.2,"Cancer"
"C52","ICD10","Malignant neoplasm of vagina",184.2,"Cancer"
"C53","ICD10","Malignant neoplasm of cervix uteri",180.1,"Cancer"
"C53.0","ICD10","Malignant neoplasm of endocervix",180.1,"Cancer"
"C53.1","ICD10","Malignant neoplasm of exocervix",180.1,"Cancer"
"C53.8","ICD10","Malignant neoplasm of overlapping sites of cervix uteri",180.1,"Cancer"
"C53.9","ICD10","Malignant neoplasm of cervix uteri, unspecified",180.1,"Cancer"
"C61","ICD10","Malignant neoplasm of prostate",185,"Cancer"
"C69","ICD10","Malignant neoplasm of eye and adnexa",190,"Cancer"
"C69.0","ICD10","Malignant neoplasm of conjunctiva",190,"Cancer"
"C69.00","ICD10","Malignant neoplasm of unspecified conjunctiva",190,"Cancer"
"C69.01","ICD10","Malignant neoplasm of right conjunctiva",190,"Cancer"
"C69.02","ICD10","Malignant neoplasm of left conjunctiva",190,"Cancer"
"C69.1","ICD10","Malignant neoplasm of cornea",190,"Cancer"
"C69.10","ICD10","Malignant neoplasm of unspecified cornea",190,"Cancer"
"C69.11","ICD10","Malignant neoplasm of right cornea",190,"Cancer"
"C69.12","ICD10","Malignant neoplasm of left cornea",190,"Cancer"
"C69.2","ICD10","Malignant neoplasm of retina",190,"Cancer"
"C69.20","ICD10","Malignant neoplasm of unspecified retina",190,"Cancer"
"C69.21","ICD10","Malignant neoplasm of right retina",190,"Cancer"
"C69.22","ICD10","Malignant neoplasm of left retina",190,"Cancer"
"C69.3","ICD10","Malignant neoplasm of choroid",190,"Cancer"
"C69.30","ICD10","Malignant neoplasm of unspecified choroid",190,"Cancer"
"C69.31","ICD10","Malignant neoplasm of right choroid",190,"Cancer"
"C69.32","ICD10","Malignant neoplasm of left choroid",190,"Cancer"
"C69.4","ICD10","Malignant neoplasm of ciliary body",190,"Cancer"
"C69.40","ICD10","Malignant neoplasm of unspecified ciliary body",190,"Cancer"
"C69.41","ICD10","Malignant neoplasm of right ciliary body",190,"Cancer"
"C69.42","ICD10","Malignant neoplasm of left ciliary body",190,"Cancer"
"C69.5","ICD10","Malignant neoplasm of lacrimal gland and duct",190,"Cancer"
"C69.50","ICD10","Malignant neoplasm of unspecified lacrimal gland and duct",190,"Cancer"
"C69.51","ICD10","Malignant neoplasm of right lacrimal gland and duct",190,"Cancer"
"C69.52","ICD10","Malignant neoplasm of left lacrimal gland and duct",190,"Cancer"
"C69.6","ICD10","Malignant neoplasm of orbit",190,"Cancer"
"C69.60","ICD10","Malignant neoplasm of unspecified orbit",190,"Cancer"
"C69.61","ICD10","Malignant neoplasm of right orbit",190,"Cancer"
"C69.62","ICD10","Malignant neoplasm of left orbit",190,"Cancer"
"C69.8","ICD10","Malignant neoplasm of overlapping sites of eye and adnexa",190,"Cancer"
"C69.80","ICD10","Malignant neoplasm of overlapping sites of unspecified eye and adnexa",190,"Cancer"
"C69.81","ICD10","Malignant neoplasm of overlapping sites of right eye and adnexa",190,"Cancer"
"C69.82","ICD10","Malignant neoplasm of overlapping sites of left eye and adnexa",190,"Cancer"
"C69.9","ICD10","Malignant neoplasm of unspecified site of eye",190,"Cancer"
"C69.90","ICD10","Malignant neoplasm of unspecified site of unspecified eye",190,"Cancer"
"C69.91","ICD10","Malignant neoplasm of unspecified site of right eye",190,"Cancer"
"C69.92","ICD10","Malignant neoplasm of unspecified site of left eye",190,"Cancer"
"C70","ICD10","Malignant neoplasm of meninges",191.1,"Cancer"
"C70.0","ICD10","Malignant neoplasm of cerebral meninges",191.1,"Cancer"
"C70.1","ICD10","Malignant neoplasm of spinal meninges",191.1,"Cancer"
"C70.9","ICD10","Malignant neoplasm of meninges, unspecified",191.1,"Cancer"
"C71","ICD10","Malignant neoplasm of brain",191.11,"Cancer"
"C71.0","ICD10","Malignant neoplasm of cerebrum, except lobes and ventricles",191.11,"Cancer"
"C71.1","ICD10","Malignant neoplasm of frontal lobe",191.11,"Cancer"
"C71.2","ICD10","Malignant neoplasm of temporal lobe",191.11,"Cancer"
"C71.3","ICD10","Malignant neoplasm of parietal lobe",191.11,"Cancer"
"C71.4","ICD10","Malignant neoplasm of occipital lobe",191.11,"Cancer"
"C71.5","ICD10","Malignant neoplasm of cerebral ventricle",191.11,"Cancer"
"C71.6","ICD10","Malignant neoplasm of cerebellum",191.11,"Cancer"
"C71.7","ICD10","Malignant neoplasm of brain stem",191.11,"Cancer"
"C71.8","ICD10","Malignant neoplasm of overlapping sites of brain",191.11,"Cancer"
"C71.9","ICD10","Malignant neoplasm of brain, unspecified",191.11,"Cancer"
"C72","ICD10","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",191.1,"Cancer"
"C72.0","ICD10","Malignant neoplasm of spinal cord",191.1,"Cancer"
"C72.1","ICD10","Malignant neoplasm of cauda equina",191.1,"Cancer"
"C72.2","ICD10","Malignant neoplasm of olfactory nerve",191.1,"Cancer"
"C72.20","ICD10","Malignant neoplasm of unspecified olfactory nerve",191.1,"Cancer"
"C72.21","ICD10","Malignant neoplasm of right olfactory nerve",191.1,"Cancer"
"C72.22","ICD10","Malignant neoplasm of left olfactory nerve",191.1,"Cancer"
"C72.3","ICD10","Malignant neoplasm of optic nerve",191.1,"Cancer"
"C72.30","ICD10","Malignant neoplasm of unspecified optic nerve",191.1,"Cancer"
"C72.31","ICD10","Malignant neoplasm of right optic nerve",191.1,"Cancer"
"C72.32","ICD10","Malignant neoplasm of left optic nerve",191.1,"Cancer"
"C72.4","ICD10","Malignant neoplasm of acoustic nerve",191.1,"Cancer"
"C72.40","ICD10","Malignant neoplasm of unspecified acoustic nerve",191.1,"Cancer"
"C72.41","ICD10","Malignant neoplasm of right acoustic nerve",191.1,"Cancer"
"C72.42","ICD10","Malignant neoplasm of left acoustic nerve",191.1,"Cancer"
"C72.5","ICD10","Malignant neoplasm of other and unspecified cranial nerves",191.1,"Cancer"
"C72.50","ICD10","Malignant neoplasm of unspecified cranial nerve",191.1,"Cancer"
"C72.59","ICD10","Malignant neoplasm of other cranial nerves",191.1,"Cancer"
"C72.9","ICD10","Malignant neoplasm of central nervous system, unspecified",191.1,"Cancer"
"C73","ICD10","Malignant neoplasm of thyroid gland",193,"Cancer"
"C74","ICD10","Malignant neoplasm of adrenal gland",194,"Cancer"
"C74.0","ICD10","Malignant neoplasm of cortex of adrenal gland",194,"Cancer"
"C74.00","ICD10","Malignant neoplasm of cortex of unspecified adrenal gland",194,"Cancer"
"C74.01","ICD10","Malignant neoplasm of cortex of right adrenal gland",194,"Cancer"
"C74.02","ICD10","Malignant neoplasm of cortex of left adrenal gland",194,"Cancer"
"C74.1","ICD10","Malignant neoplasm of medulla of adrenal gland",194,"Cancer"
"C74.10","ICD10","Malignant neoplasm of medulla of unspecified adrenal gland",194,"Cancer"
"C74.11","ICD10","Malignant neoplasm of medulla of right adrenal gland",194,"Cancer"
"C74.12","ICD10","Malignant neoplasm of medulla of left adrenal gland",194,"Cancer"
"C74.9","ICD10","Malignant neoplasm of unspecified part of adrenal gland",194,"Cancer"
"C74.90","ICD10","Malignant neoplasm of unspecified part of unspecified adrenal gland",194,"Cancer"
"C74.91","ICD10","Malignant neoplasm of unspecified part of right adrenal gland",194,"Cancer"
"C74.92","ICD10","Malignant neoplasm of unspecified part of left adrenal gland",194,"Cancer"
"C75","ICD10","Malignant neoplasm of other endocrine glands and related structures",194,"Cancer"
"C75.0","ICD10","Malignant neoplasm of parathyroid gland",194,"Cancer"
"C75.1","ICD10","Malignant neoplasm of pituitary gland",194,"Cancer"
"C75.2","ICD10","Malignant neoplasm of craniopharyngeal duct",194,"Cancer"
"C75.3","ICD10","Malignant neoplasm of pineal gland",194,"Cancer"
"C75.4","ICD10","Malignant neoplasm of carotid body",194,"Cancer"
"C75.5","ICD10","Malignant neoplasm of aortic body and other paraganglia",194,"Cancer"
"C75.8","ICD10","Malignant neoplasm with pluriglandular involvement, unspecified",194,"Cancer"
"C75.9","ICD10","Malignant neoplasm of endocrine gland, unspecified",194,"Cancer"
"C76.1","ICD10","Malignant neoplasm of thorax",164,"Cancer"
"C7A.0","ICD10","Malignant carcinoid tumors",202,"Cancer"
"C7A.0","ICD10","Malignant carcinoid tumors",189.1,"Cancer"
"C7A.0","ICD10","Malignant carcinoid tumors",151,"Cancer"
"C7A.00","ICD10","Malignant carcinoid tumor of unspecified site",195,"Cancer"
"C7A.020","ICD10","Malignant carcinoid tumor of the appendix",153.2,"Cancer"
"C7A.021","ICD10","Malignant carcinoid tumor of the cecum",153.2,"Cancer"
"C7A.022","ICD10","Malignant carcinoid tumor of the ascending colon",153.2,"Cancer"
"C7A.023","ICD10","Malignant carcinoid tumor of the transverse colon",153.2,"Cancer"
"C7A.024","ICD10","Malignant carcinoid tumor of the descending colon",153.2,"Cancer"
"C7A.025","ICD10","Malignant carcinoid tumor of the sigmoid colon",153.2,"Cancer"
"C7A.029","ICD10","Malignant carcinoid tumor of the large intestine, unspecified portion",153.2,"Cancer"
"C7A.090","ICD10","Malignant carcinoid tumor of the bronchus and lung",165.1,"Cancer"
"C7A.091","ICD10","Malignant carcinoid tumor of the thymus",202,"Cancer"
"C7A.092","ICD10","Malignant carcinoid tumor of the stomach",151,"Cancer"
